"","mem_point_","mem_point1","new_transe","new_tran_1","new_tran_2","new_tran_3","new_tran_4","new_tran_5","X","Y","elevation","elev_units","coords.x1","coords.x2","optional"
"1166",11,0.55,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.321676573,44.5425927574,1428.39,"meters",-118.321676573323,44.5425927574467,TRUE
"1167",11,0.56,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.319951918,44.5518664837,1485.68,"meters",-118.319951918097,44.5518664837311,TRUE
"1168",11,0.57,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.318226523,44.5611403485,1511.68,"meters",-118.318226522789,44.5611403484522,TRUE
"1169",11,0.58,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.316500387,44.5704143519,1525.51,"meters",-118.316500386648,44.570414351878,TRUE
"1170",11,0.59,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.314773509,44.5796884943,1506.51,"meters",-118.314773508919,44.5796884942767,TRUE
"1171",11,0.6,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.313045889,44.5889627759,1646.76,"meters",-118.313045888846,44.5889627759165,TRUE
"1172",11,0.61,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.311317518,44.5982371964,1730.73,"meters",-118.311317518318,44.5982371963721,TRUE
"1173",11,0.62,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.309588399,44.6075117561,1727.04,"meters",-118.309588398968,44.6075117561371,TRUE
"1174",11,0.63,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.307858535,44.6167864559,1584.98,"meters",-118.307858534958,44.6167864559437,TRUE
"1175",11,0.64,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.306127926,44.6260612961,1413.65,"meters",-118.30612792553,44.6260612960606,TRUE
"1176",11,0.65,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.30439657,44.6353362768,1399.02,"meters",-118.304396569925,44.6353362767566,TRUE
"1177",11,0.66,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.302664467,44.6446113983,1339,"meters",-118.302664467384,44.6446113983004,TRUE
"1178",11,0.67,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.300931617,44.653886661,1275.5,"meters",-118.300931617145,44.6538866609611,TRUE
"1179",11,0.68,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.299198018,44.663162065,1278.79,"meters",-118.299198018449,44.6631620650077,TRUE
"1180",11,0.69,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.297463671,44.6724376107,1280.3,"meters",-118.297463670532,44.6724376107094,TRUE
"1181",11,0.7,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.295728573,44.6817132983,1311.82,"meters",-118.295728572632,44.6817132983356,TRUE
"1182",11,0.71,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.293992724,44.6909891282,1311.16,"meters",-118.293992723986,44.6909891281555,TRUE
"1183",11,0.72,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.292256124,44.7002651004,1360.5,"meters",-118.292256123829,44.7002651004387,TRUE
"1184",11,0.73,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.290518771,44.7095412155,1425.2,"meters",-118.290518771397,44.7095412154548,TRUE
"1185",11,0.74,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.288780666,44.7188174735,1502.78,"meters",-118.288780665924,44.7188174734734,TRUE
"1186",11,0.75,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.287041807,44.7280938748,1637.33,"meters",-118.287041806643,44.7280938747645,TRUE
"1187",11,0.76,11,-1783786.01941,946414.50861,-1726726.44235,1033605.90882,13,-118.285302193,44.7373704196,1754.58,"meters",-118.285302192787,44.737370419598,TRUE
